,Title,Desc_of_movies
2394,Lagos Real Fake Life ,"Two mooching friends vie for the attention of wealthy, beautiful women only to discover that their lavish lifestyles are bogus."
2395,Lakeeran ,"Guilt-ridden over his involvement in a fatal car accident, a young ex-pat returns to Punjab, falling for a woman who carries traumas of her own."
2396,Lakshya ,"After dropping out of the army, a spoiled teenager reenlists and proves his mettle by becoming an officer just as war breaks out."
2397,Lal Patthar ,"A vain, self-righteous nobleman falls in love with a village girl and tries to transform her into his version of the ideal woman."
2398,Land Girls ," Follow the lives, loves, highs and lows of four members of the Women's Land Army who are working at the Hoxley Estate during WWII."
2399,The Land of Cards ,A royal prince arrives on an island of fascist rule and inspires a rebellion among its women in this hallucinogenic adaptation of a classic play.
2400,The Land of Steady Habits ,"After leaving his wife and his job to find happiness, Anders begins a clumsy, heartbreaking quest to reassemble the pieces of his fractured life."
2401,The Land ,A group of peasant farmers fights to protect their village against a corrupt landowner. Adapted from the popular novel by Abdel Rahman al-Sharqawi.
2402,Lang Tong ,"After seducing a philandering con man, a rebellious young woman enlists his help in carrying out a heinous crime against her sister."
2403,Lara and the Beat ,"When their glamorous, fast-paced lifestyle comes to a screeching halt, two sisters try to rebuild their fortunes through music and enterprise."
2404,The Larva Island Movie ,"In this movie sequel to the hit series, Chuck returns home and talks to a reporter about life on the island with zany larva pals Red and Yellow."
2405,Last Action Hero , A magic movie ticket gains a young fan unprecedented access to his favorite action hero after being sucked out of his seat and onto the big screen.
2406,The Last Airbender ," In a world ravaged by the Fire nation's aggression toward the peaceful Air, Water and Earth nations, a young boy holds the key to restoring peace."
2407,The Last Animals ," This sobering documentary highlights the poaching and trafficking of elephants and rhinos, and the activists who will stop at nothing to protect them."
2408,The Last Bomb of the Second World War (Irandam Ulagaporin Kadaisi Gundu) ,A piece of unexploded ordnance wreaks havoc on the lives of a scrapyard worker whose truck it falls into and an anti-war activist who's hunting for it.
2409,Last Breath ,"A commercial diver becomes trapped on the ocean floor with dwindling oxygen and little hope of a timely rescue, so he tries to save himself."
2410,The Last Days of American Crime ,"A bank robber joins a plot to commit one final, historic heist before the government turns on a mind-altering signal that will end all criminal behavior."
2411,Last Ferry ,"Seeking romance and friendship, a young gay lawyer travels to Fire Island in the off-season and is soon on the run after witnessing a murder."
2412,Last Flight to Abuja ,"When disaster strikes mid-flight, a commercial plane's frantic passengers confront their pasts and the possibility of death. Based on true events."
2413,The Last Hangover ,"In this biblical ""Hangover"" spoof, the apostles awaken to find Jesus is missing and must piece together events of the previous night's wild Last Supper."
2414,Last Holiday ,"Given the news she's terminally ill, Georgia throws caution to the wind, breaks out of her shell and takes a no-holds-barred European vacation."
2415,The Last Laugh ,"After moving to a retirement home, restless talent manager Al reconnects with long-ago client Buddy and coaxes him back out on the comedy circuit."
2416,Last Moment of Clarity ,A man becomes convinced an actress he sees in a film is his fiancée - whose murder he seemingly witnessed years earlier -- and comes to LA to find her.
2417,The Last Resort ,"In the waning days of the 70s, two young photographers document the Jewish retirees who dominated the sunny shores of South Beach."
2418,"The Last Runway (Leal, solo hay una forma de vivir) ",An ex-colonel forms a special paramilitary group focused on combatting drug trafficking on the Paraguayan border.
2419,The Last Shaman ," In a last-ditch effort to prevent suicide, a clinically depressed young man travels to the Amazon to engage in an ancient hallucinatory ritual."
2420,The Last Stand , The sheriff of a sleepy border town finds his quiet life interrupted when a drug boss escapes FBI custody and flees straight toward his town.
2421,The Last Summer ,"Teens from a Chicago high school grapple with their dreams, relationships and identities in a transformative summer before they leave for college."
2422,The Last Thing He Wanted ,A hard-hitting reporter becomes entangled in the story she's trying to break when she helps her ailing father broker an arms deal in Central America.
2423,The Last Whistle ,"After a star player dies during football practice, his coach's career and reputation are on the line as he refuses to quit his win-at-all-costs style."
2424,Late Life: The Chien-Ming Wang Story ,Injuries sidelined the bright career of New York Yankees pitcher Chien-Ming Wang. This documentary captures his relentless battle back to the majors.
2425,Latte and the Magic Waterstone ,"When a greedy bear steals a magic stone to keep the forest's water for himself, a brave hedgehog and a timid squirrel must work together to retrieve it."
2426,The Laundromat ,"When a widow gets swindled out of insurance money, her search for answers leads to two cunning lawyers in Panama who hide cash for the superrich."
2427,Lavell Crawford: Can a Brother Get Some Love? ,"""Last Comic Standing"" runner-up Lavell Crawford lords over a hometown crowd at St. Louis's Orpheum Theatre, raking in the love -- and the laughs."
2428,Law Abiding Citizen ,"Traumatized by the atrocious murders of his wife and daughter, a grieving man gives in to his rage and sets out on a course of vengeance."
2429,Lawless ," This true-to-life action saga profiles Virginia's bootlegging Bondurant brothers, whose exploits during the Prohibition era made them outlaw heroes."
2430,The Laws of Thermodynamics ,"A physicist uses the laws of thermodynamics to describe romance and relationships, but his theories prove faulty when it comes to his own love life."
2431,Layer Cake ,A seasoned British drug dealer longs to ditch his illegal trade. But he can't do that without wrapping up just one more job.
2432,Layla M. ,"In response to the repeated bigotry she faces, a Muslim teen in Amsterdam tries to find a sense of belonging in the world of fundamentalist Islam."
2433,Le serment des Hitler ,This documentary retraces the footsteps of Adolf Hitler's mysterious nephew and explores what became of the Hitler family line.
2434,League of Legends Origins ,"Fans, experts and creators of the ""League of Legends"" detail the game's rise from free demo to global esports titan."
2435,LeapFrog: Letter Factory ,"In this entertaining installment of the wildly popular early-learning series, Professor Quigley, Leap, Lily and Tad arrive at the magical Letter Factory, where jumbles of sounds are miraculously shaped into letters."
2436,"LeapFrog: Sing-along, Read-along ","Using rhythm and rhymes, a funky band and a colorful cast of characters help make reading, sounding out vowels and building words easy and fun!"
2437,Leave No Trace ,A father and daughter living in content isolation find their lives -- and bond --  shaken when authorities move them back into society.
2438,Lechmi ,"The spirit of a murdered woman contacts four bachelors, enlisting their help to find her killer."
2439,The Legacy of a Whitetail Deer Hunter ,A star of hunting videos strives to bond with his 12-year-old son on a wilderness trip but learns familial connections can't be forced.
2440,The Legacy of the Bones (Legado en los huesos) ,"A year after solving a series of murders, detective Amaia is faced with a related mystery in the Baztán Valley that ends up hitting very close to home."
2441,Legally Blonde ,"To win back her Harvard-bound former beau, Valley girl Elle Woods enrolls at the university's law school -- and ends up excelling in the legal arts."
2442,Legend , Identical twins and notorious gangsters Reggie and Ronnie Kray elude the authorities in 1960s London while transfixing and terrifying the public.
2443,The Legend of 420 ,"This documentary explores the growing trend of marijuana decriminalization in the U.S. and the use of cannabis in medicine, art, fine dining and more."
2444,The Legend of Bhagat Singh ," This biopic chronicles the life and times of iconic Indian revolutionary Bhagat Singh, who led an armed resistance against the British in the 1920."
2445,The Legend of Bruce Lee ,"The brief but spectacular career of martial arts superstar Bruce Lee is recounted in this drama, starring Danny Chan as the enigmatic and driven Lee."
2446,The Legend of Cocaine Island ,An urban legend about a duffel bag of cocaine buried in the Caribbean leads a misfit band to hatch a nutball plan to find it in this comic documentary.
2447,The Legend of Michael Mishra ,"After a life of crime, a notorious kidnapper tries to change his ways and turn over a new leaf to win the heart of the woman he loves."
2448,The Legend of Zorro ,Don Alejandro de la Vega returns to action as the masked avenger Zorro when he gets wind of a scheme to sabotage California's bid for statehood.
2449,Legendary Weapons of China ,"Three assassins -- magician Lei Ying, hit man Tieh Hon and kung fu master Ti Tan -- are sent to Yunnan by their clan leader to bring to justice another clan member who betrayed the tribe."
2450,Legends of the Fall ," The Ludlow clan -- father William and brothers Alfred, Tristan and Sam -- splinters when Sam leaves to fight in World War I against his dad's wishes."
2451,Legion ,A motley crew of apocalypse survivors living at an abandoned truck stop never suspects that the pregnant woman among them is carrying the Messiah.
2452,LEGO House - Home of the Brick ,"In Billund, Denmark, a nearly 130,000-square-foot house is constructed with 25 million Lego bricks, capturing the awe of kids of all ages."
2453,LEGO Jurassic World: The Indominus Escape , The scientists of Jurassic World create a captivating and terrifying new creature that loves hot dogs. But what happens when the hot dogs run out?
2454,LEGO Marvel Spider-Man: Vexed by Venom ,"When Green Goblin and Venom team up for a disastrous scheme, Spider-Man calls in a wall-crawling ally and must rely on his Spidey senses to stop them."
2455,LEGO Marvel Super Heroes: Avengers Reassembled! ,"When Ultron seizes control of Iron Man's armor, the Avengers race to save their friend and stop an evil plot to take over the world."
2456,LEGO Marvel Super Heroes: Black Panther ,"When Thanos joins forces with villains Killmonger and Klaue to destroy Earth, Black Panther rushes to stop them from stealing Wakanda's vibranium."
2457,LEGO Marvel Super Heroes: Guardians of the Galaxy ,"The Guardians are on a mission to deliver the Build Stone to the Avengers before the Ravagers, Thanos and his underlings steal it from them."
2458,LEGO Ninjago: Masters of Spinjitzu: Day of the Departed ,Cole finds himself trapped in Yang's temple after accidentally releasing a host of villainous spirits that the Ninja must defeat.
2459,LEGO: Marvel Super Heroes: Maximum Overload , Villainous Loki is amassing an army to conquer Earth! His antics are keeping Spider-Man and S.H.I.E.L.D. busy as they tackle a host of bad guys.
2460,The Leisure Seeker ,"On the run from kids and obligations, a couple hits the road in an old Leisure Seeker RV and sets out for the Ernest Hemingway Home in Key West."
2461,Lembi 8 Giga ,"To upgrade his life, a simple man fakes his credentials as a lawyer when sudden extraordinary abilities give him the talent to thrive."
2462,Lemony Snicket's A Series of Unfortunate Events ," After their parents are tragically killed, three orphans are taken in by the dastardly Count Olaf, who hopes to snatch their inheritance from them."
2463,Lens ,"Addicted to webcams and voyeurism, a married man gets more than he bargained for when an online stranger tries to force him to watch a suicide."
2464,Les Misérables ,"The musical version of Victor Hugo's epic tale of love and sacrifice, first produced for the stage in 1985, now receives the big-screen treatment."
2465,Leslie Jones: Time Machine ,"From trying to seduce Prince to battling sleep apnea, Leslie Jones traces her evolution as an adult in a joyfully raw and outrageous stand-up special."
2466,Lessons from a School Shooting: Notes from Dunblane ,"Two priests -- one from Dunblane, Scotland, the other from Newtown, Connecticut -- bond over school tragedies that occurred 16 years apart."
2467,Let It Fall: Los Angeles 1982-1992 ,This documentary chronicles simmering tension and broken trust between L.A.'s black community and police in the decade before the Rodney King riots.
2468,Let It Snow ,"A snowstorm hits a small town on a cold Christmas Eve, affecting the friendships, love lives and futures of several high school seniors."
2469,Let the Sunshine In ,"A divorced visual artist wanders through a series of fraught romances, shedding light on her lovers' psyches -- and her own solitude and desires."
2470,Let There Be Light ,Some returning combat veterans suffer scars that are more psychological than physical. This film follows patients and staff during their treatment.
2471,Let There Be Light ,An atheist author finds faith after a near-death experience turns his life around.
2472,Let's Dance ,"After his crew breaks up, a gifted but insecure hip-hop dancer teaches at a top ballet school in Paris, where he falls for an aspiring ballerina."
2473,Let's Dance ,"Disillusioned with her humdrum routine, a married lawyer secretly enrolls in a dance school in this remake of the 1996 Japanese film ""Shall We Dance?"""
2474,Lethal Weapon ," After losing his wife and unborn child, ex-Navy SEAL Riggs joins the LAPD, where his recklessness creates tensions with seasoned partner Murtaugh."
2475,The Letter Reader ,A young boy from Johannesburg arrives in KwaZulu-Natal and begins to read letters for villagers -- then falls in love with one of the recipients.
2476,Letters to Juliet ,"By responding to a letter addressed to Shakespeare's tragic heroine Juliet Capulet, an American woman in Verona, Italy, is led in search of romance."
2477,Liar's Dice ,A woman from a small mountain village disobeys her village elders and sets out for the big city in search of her missing husband.
2478,Liberated: The New Sexual Revolution ,"Filmmakers explore how pop culture shapes a new generation's beliefs about gender, sexuality and violence on display among students on spring break."
2479,Liefling ,"An adventure-loving young woman catches the attention of a handsome beau in this musical celebration of love, friends and fate."
2480,Life ,The discovery of a single-celled organism in a sample from Mars causes excitement ... until the life-form starts displaying signs of intelligence.
2481,LIFE 2.0 , Computer users across the globe log onto the virtual world of Second Life. But some users' lives are dramatically consumed by this alternate reality.
2482,Life as We Know It ," Holly and Eric discover reciprocal hatred during their first date, but must put their feelings aside after becoming guardians of their friends' baby."
2483,Life in a ... Metro ,A group of Mumbai up-and-comers search for love and struggle for success in this ensemble drama that centers on an eager young call-center executive.
2484,Life in Pieces , The experiences of three generations in one American family are recounted in short stories that reveal the lives and loves of their quirky clan.
2485,Life in the Doghouse ,"A couple operates a bustling dog rescue out of their own home, vowing to give a safe space to the neediest pups on the planet -- 10,000 and counting."
2486,Life Itself ,"A love story spanning generations and continents is connected by a single, heartbreaking event with results that none of those affected can imagine."
2487,Life Ki Toh Lag Gayi ,"A vengeful son, a cop on a mission, a wannabe actress and a jilted lover find their lives intermingling in unexpected ways over 24 hours in Mumbai."
2488,Life of An Outcast ," When authorities jail his son for rejecting religious bias, a poor father's struggle to bail him out highlights rural India's enduring casteism."
2489,Life Overtakes Me ,"In the grip of trauma, hundreds of refugee children in Sweden withdraw from life's uncertainties into a coma-like illness called Resignation Syndrome."
2490,Life's Speed Bump (Matab sena'y) ,"Seeking job opportunities, a young man arrives in Cairo and becomes increasingly involved with the family of a wealthy businessman."
2491,Lifeline ,Johnnie To's character-centered drama follows a Hong Kong firefighting crew as they take on harrowing rescue missions and navigate personal dilemmas.
2492,The Lift Boy ,"When a lazy young man replaces his father as the elevator operator of a posh residential complex, what he sees as menial work soon takes on new meaning."
2493,Light in the Dark ,A terrifying home invasion shatters a couple's happy family life and brings their marriage to the brink as painful fallout unfolds.
2494,The Light of My Eyes (Nour Einy) ,A composer hides his love for his formerly blind ex when she returns to Egypt engaged to his childhood friend -- the doctor who restored her sight.
2495,Light of My Life ,"Years after a pandemic wipes out most of the female population, a father struggles to shield his daughter from a dangerous and predatory world."
2496,The Lighthouse of the Orcas (El faro de las orcas) ,A mother travels to Patagonia with her autistic son with the hopes that a ranger and a pod of wild orcas can help him find an emotional connection.
2497,Like Arrows ,"Over 50 years of their lives, a couple enjoys the blessings and setbacks of parenting, and learns that God has to be at the center of their family."
2498,Like Father ,"After she's left at the altar, a workaholic advertising executive ends up on her Caribbean honeymoon cruise with her estranged father."
2499,Lila and Eve ,"After each of them loses a child to murder, two women who meet in a support group initiate their own investigation when the police are no help."
2500,Lilli ,"A woman who's about to give birth finds her maternal instincts kicking in when she's abducted, imprisoned and brutalized by a vicious gang."
2501,Limelight ,"After meeting a troubled ballerina, a vaudeville performer turned washed-up drunk finds renewed hope and efforts in his comeback to the stage."
2502,Limitless ,"With his writing career dragging, Eddie Morra finds his life turning around after he takes a drug that provides astonishing mental focus."
2503,Limitless ,This documentary follows eight women in India who struggle with self-confidence and society's expectations but rediscover themselves through running.
2504,The Lincoln Lawyer ,"Tasked with defending rich lothario Louis Roulet, who's been charged with assault, lawyer Mick Haller finds himself and his family in danger."
2505,Line Walker ,A Hong Kong intelligence officer tasked with finding undercover agents whose identities have been erased finds herself in the paths of rival triads.
2506,Lingua Franca ,An undocumented trans woman seeking legal status in the US becomes romantically involved with the grandson of the elderly woman she cares for.
2507,Lion ,"An Indian man who was separated from his mother at age 5 and adopted by an Australian couple returns home, determined to find his birth family."
2508,The Lion Woman ,A girl born with a condition that causes abnormal hair growth across her body tries to cope with the challenges of being different.
2509,Lion's Heart (Qalb el-Asad) ,"Kidnapped as a child and raised in the circus, a young lion tamer's tough side emerges when he gets entangled in an underworld murder mystery."
2510,Lionheart ,"When her father falls ill, Adaeze steps up to run the family business -- alongside her uncle -- and prove herself in a male-dominated world."
2511,Liss Pereira: Reteniendo líquidos ,"A pregnant Liss Pereira shares hilariously uncomfortable truths about sex, love, attraction and the lies we tell in modern relationships."
2512,Listen (Ismaii) ,"A sound engineer falls for a model but after an unfortunate accident, he fights to save their love by triggering her senses."
2513,Little Baby Bum: Go Buster ,This compilation for preschoolers features a peppy young bus and his first life experiences where bumps in the road won't stop him from a fun ride.
2514,Little Boxes ," After moving from New York City to a small town in Washington state, a biracial couple and their preteen son struggle to adjust to life in suburbia."
2515,Little Children ,Several adults in a quiet suburban neighborhood have yet to surpass their adolescent impulses in this contemplative relationship drama.
2516,Little Dragon Maiden (Yang guo yu xiao long nu) ,"Seeking to improve his combat skills, a young man falls in love with a woman with mystical powers, but his past stands in the way of their union."
2517,Little Evil ,"In this horror-comedy, a recently married man who wants to bond with his stepson begins to fear that the boy is a demon."
2518,The Little Hours ,Life at a convent takes an unruly turn when three unconventionally opinionated nuns cross paths with a tempting new gardener.
2519,The Little Mermaid ,"In this take on the classic tale, a captive circus mermaid transforms the lives of a skeptical journalist and his wide-eyed young sister."
2520,Little Miss Sumo ,"In an ancient sport traditionally reserved for men, 20-year-old female sumo prodigy Hiyori attempts to revolutionize Japan's national pastime."
2521,Little Monsters ,"Brian knows there are creatures under his bed. When he faces his fears and confronts them, however, he makes some hilariously weird new friends."
2522,The Little Nyonya ,"An orphaned Chinese woman in Singapore refuses to yield to her lowly station in life, setting her family on a tumultuous course for generations."
2523,Little Odessa ,"Gun-for-hire Joshua Shapira, on assignment for the Russian mob, returns to his former Brighton Beach neighborhood where he mends fences with his brother and an ex-girlfriend. But Joshua's estranged dad wants nothing to do with his hoodlum son."
2524,The Little Prince ,"When an overscheduled girl befriends an eccentric aviator, he regales her with tales about the adventures of an unusual boy who lives on an asteroid."
2525,The Little Rascals ," Inspired by Hal Roach's ""Our Gang"" TV series, this delightful family film promises shenanigans from the funniest little mischief makers of all time."
2526,Little Singham aur Kaal ka Mahajaal ,"When Kaal, the vilest demon on earth, threatens to destroy his village, child cop Little Singham must use his strength and smarts to fight back."
2527,Little Singham Bandarpur Mein Hu Ha Hu ,"Little Singham's sidekick monkey, Chikki, is stuck in the magical land of Bandarpur! Can the kid cop save his beloved pet before danger strikes?"
2528,Little Singham in London ,"Little Singham is in London to meet the queen, but when the famed Kohinoor Diamond gets stolen, the kid cop goes on a wild, citywide hunt for the thief."
2529,Little Singham: Kaal Ka Badla ,"Little Singham's biggest enemy, the demon Kaal, is back and badder than ever -- but this time, will he succeed in destroying the world's best kid cop?"
2530,Little Singham: Kaal Ki Tabaahi ,Kaal is back -- bigger and badder than ever! Can Little Singham fight the battle of a lifetime to stop the demon's plans to wreak havoc on earth?
2531,Little Singham: Legend of Dugabakka ,"As fears rise over a ghost known for nighttime abductions, Mirchi Nagar residents look to the only person they know can save them: Little Singham!"
2532,Little Singham: Mahabali ,"In a journey back in time to the ancient city of Mirchigadh, Little Singham vies for the title of Ultimate Warrior and fights a zombie king's army."
2533,The Little Switzerland (La pequeña Suiza) ,The discovery of the tomb of William Tell's son in a town in the Basque Country spurs the village's cantankerous citizens to lobby for Swiss annexation.
2534,The Little Wars (Les petites guerres) ,"Beirut resident Soraya is drawn to two men: daredevil photographer Nabil and Talal, who must embrace his feudal heritage when his father is kidnapped."
2535,"Live Twice, Love Once (Vivir dos veces) ","When Emilio (Oscar Martínez) is diagnosed with Alzheimer's disease, he and his family embark on a quest to reunite him with his childhood crush."
2536,Living in Bondage: Breaking Free ,"Mentored by an enigmatic tycoon, an ambitious young man faces a crisis when his rise in power draws him deep into the occult."
2537,Living with Yourself ,"Burned out on life, Miles undergoes a strange procedure at a strip mall spa -- and wakes to find he's been replaced by a better version of himself."
2538,Lo más sencillo es complicarlo todo (Como va) ,"When a 17-year-old learns the TV news host she pines for is engaged, she and her best friend launch an elaborate plan to prevent his marriage."
2539,Loaded ,Four friends become overnight millionaires after selling their video game start-up. But their newfound status tests their friendship and resolve.
2540,Lock ,"A disillusioned rickshaw driver in Punjab dreams of moving to Dubai, but his plan to butter up his would-be benefactor goes horribly wrong."
2541,Lock Your Girls In (سك على بناتك) ,A widower believes he must marry off his three problematic daughters before he can pursue his real goal of marrying his secret love.
2542,Locked on You (Hedefim Sensin) ,"When his chatty nature lands him in trouble, an unlucky meatball seller flees Istanbul and finds a new life on a beautiful island."
2543,loco love ,A young man and woman fall in love but are threatened to be torn apart by the tensions between their Latino and Caucasian communities in Arizona.
2544,Loev ,Lives are upended when a hiking trip leads a Wall Street hotshot to explore his true feelings for an old pal who's disenchanted with his boyfriend.
2545,Logan Lucky ,An ex-coal miner who's down on his luck hatches a plan to steal millions from a speedway during one of the biggest races of the year.
2546,LOL ,"Lola and her friends struggle to elude their bewildered parents, pull off daring hookups and sow some wild oats in this coming-of-age comedy."
2547,Lola Igna ,An elderly woman finds her life disrupted when her family and village realize she has a chance at a world record for being the oldest grandmother alive.
2548,Lommbock ,"After finding love in drug-free Dubai, Stefan returns to Germany to grab documents for his wedding. But old buddy Kai's bad habits complicate things."
2549,London Has Fallen ," Hell-bent on revenge, terrorists attack a group of world leaders in London. Now, it's up to agent Mike Banning to save the U.S. president -- again."
2550,Lone Survivor ,Mark Wahlberg stars as Navy SEAL Marcus Luttrell in this action-drama based on an ill-fated real-life mission to bring down a Taliban boss.
2551,The Lonely Island Presents: The Unauthorized Bash Brothers Experience ,The Lonely Island spoofs notorious baseball stars Jose Canseco and Mark McGwire in this visual rap album set in the Bash Brothers' 1980s heyday.
2552,Long Shot ,"When Juan Catalan is arrested for a murder he didn't commit, he builds his case for innocence around raw footage from a popular TV show. A documentary."
2553,The Longest Yard ," While doing time, a professional quarterback persuades a fellow convict and former coach to prepare a group of inmates for a game against the guards."
2554,Look Away ,"After enduring rejection at her high school, Maria trades places with her sinister reflection who exacts her revenge."
2555,Look for a Star ,"While keeping his identity secret, a real estate billionaire tries to woo an outspoken croupier who talks gamblers out of losing their money."
2556,"Look Out, Officer ",An officer killed on the job returns to Earth as a ghost to solve his own murder and seek justice with the help of a rookie cop and some funky magic.
2557,Look Who's Talking Too ," Mollie, James and Mikey return for more baby time in this hilarious sequel -- and now, they've added a new baby girl named Julie to the mix."
2558,Looking Glass ,"After taking over a remote desert motel, a grieving couple gets dangerously entangled in the property's secret sinister history."
2559,Looney Tunes: Rabbit's Run ,"When a perfume sales-bunny inadvertently creates an invisibility potion, she and her new pal Bugs find themselves enmeshed in a caper full of danger."
2560,The Lord of the Rings: The Fellowship of the Ring ," From the idyllic shire of the Hobbits to the smoking chasms of Mordor, Frodo Baggins embarks on his epic quest to destroy the ring of Sauron."
2561,The Lord of the Rings: The Return of the King ," Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor."
2562,The Lord of the Rings: The Two Towers ," Frodo and Sam head to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin."
2563,Lord of War ,"When a Ukrainian immigrant goes from two-bit thug to the world's leading arms dealer, he soon finds that his profiteering comes at a cost."
2564,"Lorena, Light-Footed Woman (Lorena, La de Pies Ligeros) ",Lorena Ramírez of Mexico's Rarámuri community lives a pastoral life -- except when she straps on her sandals to compete as an ultramarathon runner.
2565,Los Últimos de Filipinas (1898: Los Últimos de Filipinas) ,"While Spain relinquishes its last colonies, a battle-fatigued outpost engages in a long, brutal and sometimes bizarre clash with Filipino insurgents."
2566,Los Herederos ," Spurred by boredom and peer pressure, a group of suburban teens becomes increasingly violent and find their paths intersecting those of their parents."
2567,Los Tigres del Norte at Folsom Prison ,The beloved norteño band Los Tigres del Norte performs for the inmates of Folsom Prison on the 50th anniversary of Johnny Cash's iconic concert.
2568,The Lost Brother ,"While settling the affairs of his murdered mother and brother, a man partners with a local thug in a life insurance scam, putting him on a dark path."
2569,Lost Bullet (Balle perdue) ,"Facing a murder charge, a genius mechanic with a criminal past must track down a missing car containing the proof of his innocence: a single bullet."
2570,Lost Girls ,"Desperate to find her missing daughter, a mother fights to uncover the truth -- and helps expose a string of unsolved murders. Based on a true story."
2571,Lost Highway ,"Soon after saxophonist Fred Madison suspects his wife of cheating on him, he is mysteriously framed for her murder and sent to death row."
2572,The Lost Husband ,"Looking to start anew, a widow retreats with her children to her aunt's goat farm, where the ranch's manager helps her navigate country life and loss."
2573,Lost in London ,"Nigerian students Okon and Bona experience culture shock -- several shocks, really -- after being selected for an exchange program in London."
2574,Lost in Space ," After crash-landing on an alien planet, the Robinson family fights against all odds to survive and escape. But they're surrounded by hidden dangers."
2575,The Lost Okoroshi ,"A disillusioned security guard transforms into a masquerade, channeling ancestral spirits as he roams the streets of Lagos."
2576,The Lost World: Jurassic Park ," Four years after Jurassic Park's genetically bred dinosaurs ran amok, a millionaire reveals that he's been breeding more beasties at a secret site."
2577,Loudon Wainwright III: Surviving Twin ,Grammy-winning singer Loudon Wainwright III reflects upon his unique relationship with his father in an evening of original songs and heartfelt stories.
2578,Louis C.K. 2017 ,"Louis C.K. muses on religion, eternal love, giving dogs drugs, email fights, teachers and more in a live performance from Washington, D.C."
2579,Louis C.K.: Hilarious ,"Emmy-winning comedy writer Louis C.K. brings his caustic wit to Milwaukee, offering up his unique and uncensored take on sex, parenting and more."
2580,Louis C.K.: Live at the Comedy Store ,"The comic puts his trademark hilarious/thought-provoking spin on finding a bat in his kitchen, seeing rats having sex, Boston accents and dead pets."
2581,Love ,"In Jakarta, five couples of varying ages and backgrounds experience the different stages of romantic love, from its giddy start to its painful end."
2582,Love 101 ,"While trying to make their teacher fall for a basketball coach, four misfits and a model student find friendship, love and the courage to be themselves."
2583,Love Aaj Kal ,"When professional ambitions clash with personal feelings for a modern-day couple, a love story from a bygone decade may offer some wisdom."
2584,Love Actually ," This ensemble comedy is a charming treatise on romance, telling 10 intertwining London love stories, leading up to a climax on Christmas Eve."
2585,The Love Affair ,"Feeling betrayed by their romantic partners' infidelity, Adrianne and Vince struggle to forgive while finding comfort with each other."
2586,Love and Other Impossible Pursuits ," Emilia wins the heart of the handsome object of her affection, only to find that the relationship comes with some very real baggage."
2587,Love and Shukla ,"A sexually inexperienced rickshaw driver struggles to build intimacy with his shy new wife in their tiny, overcrowded quarters."
2588,Love Beats Rhymes ,"After enrolling in a college poetry course, a struggling rapper finds inspiration for her new voice through slam poetry."
2589,Love By Chance ,"A pastry chef's meddling mom sets her up with a handsome doctor, but when love starts to blossom, the doctor doesn't want to keep up the ruse."
2590,Love Dot Com: The Social Experiment ,"Sparks fly and romance blooms when Shelby, a vegan chef, meets Greg, a developer - until their opposing views clash."
2591,Love for Sale ," Richard accepts a bet that he can't find a companion to a friend's wedding, not knowing the dating app he's using includes a 45-day contract."
2592,Love for Sale 2 ,"Exhausted with his mother's failed attempts at setting him up with women, Ican hires an ideal partner from a matchmaking app."
2593,Love In A Puff ,"When the Hong Kong government enacts a ban on smoking cigarettes indoors, the new law drives hard-core smokers outside, facilitating a meeting between Cherie, a makeup saleswoman, and Jimmy, an advertising exec."
2594,Love Is a Story ,"Two young artists, a violin player and an actress, fight to achieve their dreams and keep their relationship together during Christmastime."
2595,Love Is Blind ,"Nick and Vanessa Lachey host this social experiment where single men and women look for love and get engaged, all before meeting in person."
2596,Love Is Blind ,"Diagnosed with selective perception, a young woman is prescribed by a psychotherapist to spend time with a troubled man she cannot see."
2597,Love Is War ,An adoring couple elects to test the strength of their marriage when they run against each other for the office of state governor.
2598,Love Like the Falling Rain (Seperti Hujan Yang Jatuh Ke Bumi) ,"Fearing rejection, a young man struggles to declare his feelings for his best friend, who soon falls for another man -- until a fateful incident."
2599,Love Ni Bhavai ,"Not romantically inclined, a popular radio personality finds herself caught between two diametrically opposed suitors."
2600,Love O2O ,A college stud tries to level up his relationship with a computer science major after becoming attracted to her skills in an online role-playing game.
2601,Love Off the Cuff ,Cherie and Jimmy's relationship is in a rut -- until Cherie's estranged father shows up and a woman from Jimmy's past shows up with a hidden agenda.
2602,Love on Delivery ,"To prove himself to a love interest, a delivery boy learns dubious kung fu from an aging charlatan so he can challenge his archrival to a fight."
2603,Love Per Square Foot ,"Individually, bank employees Sanjay and Karina don't earn enough to be able to buy a home, so they decide to enter into a marriage of convenience."
2604,Love Station (Eza'at Hubb) ,"Single coworkers at a radio station are brought together by mutual friends, but their starry-eyed notions about love may scuttle their romance."
2605,Love Wedding Repeat ,"Different versions of the same day unfold as Jack juggles difficult guests, unbridled chaos and potential romance at his sister's wedding."
2606,Love You... Love You Not ,A love triangle gets complicated when a female English tutor unknowingly gets between a hot-tempered guy and his off-to-the-United States girlfriend.
2607,"Love, Guaranteed ",Sparks fly when a crusading but cash-strapped attorney takes on a charming client looking to sue a dating site that guarantees its users will find love.
